E V T
-6.799881E+02 -1.676430E+03 +9.964417E+02
-6.799840E+02 -1.683651E+03 +1.003667E+03
-6.799888E+02 -1.689798E+03 +1.009810E+03
-6.799888E+02 -1.694166E+03 +1.014177E+03
-6.799858E+02 -1.697630E+03 +1.017644E+03
-6.799832E+02 -1.699564E+03 +1.019581E+03
-6.799745E+02 -1.697354E+03 +1.017380E+03
-6.799725E+02 -1.689618E+03 +1.009645E+03
-6.799768E+02 -1.677336E+03 +9.973588E+02
-6.799829E+02 -1.663648E+03 +9.836652E+02
-6.799829E+02 -1.653542E+03 +9.735589E+02
-6.799740E+02 -1.651483E+03 +9.715090E+02
-6.799814E+02 -1.656994E+03 +9.770124E+02
-6.799799E+02 -1.665276E+03 +9.852960E+02
-6.799817E+02 -1.673421E+03 +9.934392E+02
-6.799794E+02 -1.678422E+03 +9.984424E+02
-6.799897E+02 -1.677002E+03 +9.970121E+02
-6.799827E+02 -1.670647E+03 +9.906646E+02
-6.799855E+02 -1.663146E+03 +9.831601E+02
-6.799817E+02 -1.656804E+03 +9.768221E+02
-6.799819E+02 -1.653244E+03 +9.732624E+02
-6.799904E+02 -1.656236E+03 +9.762461E+02
-6.799960E+02 -1.666722E+03 +9.867263E+02
-6.799850E+02 -1.680835E+03 +1.000850E+03
-6.799904E+02 -1.694713E+03 +1.014723E+03
-6.799930E+02 -1.705112E+03 +1.025119E+03
-6.799955E+02 -1.709784E+03 +1.029788E+03
-6.800068E+02 -1.706417E+03 +1.026410E+03
-6.800086E+02 -1.696155E+03 +1.016147E+03
-6.799973E+02 -1.685753E+03 +1.005756E+03
-6.799960E+02 -1.680873E+03 +1.000877E+03
-6.799837E+02 -1.683154E+03 +1.003170E+03
-6.799807E+02 -1.688948E+03 +1.008967E+03
-6.799766E+02 -1.691224E+03 +1.011247E+03
-6.799776E+02 -1.687337E+03 +1.007359E+03
-6.799668E+02 -1.680215E+03 +1.000249E+03
-6.799648E+02 -1.674498E+03 +9.945328E+02
-6.799701E+02 -1.672451E+03 +9.924805E+02
-6.799676E+02 -1.674236E+03 +9.942689E+02
-6.799678E+02 -1.679765E+03 +9.997976E+02
-6.799661E+02 -1.686859E+03 +1.006893E+03
-6.799794E+02 -1.693118E+03 +1.013139E+03
-6.799760E+02 -1.697239E+03 +1.017263E+03
-6.799704E+02 -1.698341E+03 +1.018371E+03
-6.799776E+02 -1.696058E+03 +1.016080E+03
-6.799827E+02 -1.691115E+03 +1.011132E+03
-6.799776E+02 -1.685711E+03 +1.005734E+03
-6.799852E+02 -1.681329E+03 +1.001344E+03
-6.799903E+02 -1.678752E+03 +9.987615E+02
-6.799942E+02 -1.680111E+03 +1.000117E+03
-6.799868E+02 -1.685789E+03 +1.005803E+03
-6.799904E+02 -1.692153E+03 +1.012162E+03
-6.799965E+02 -1.696073E+03 +1.016077E+03
-6.799927E+02 -1.696561E+03 +1.016568E+03
-6.799894E+02 -1.693479E+03 +1.013489E+03
-6.799911E+02 -1.688586E+03 +1.008594E+03
-6.799891E+02 -1.685244E+03 +1.005255E+03
-6.799814E+02 -1.684451E+03 +1.004469E+03
-6.799724E+02 -1.685812E+03 +1.005840E+03
-6.799683E+02 -1.689438E+03 +1.009470E+03
-6.799676E+02 -1.693395E+03 +1.013427E+03
-6.799735E+02 -1.695185E+03 +1.015212E+03
