rx ry rz vx vy vz ax ay az
-8.203154E+00 +6.156287E+00 +5.146757E+00 +1.137757E+00 +9.770714E-02 +5.846465E-02 +2.922167E+00 +3.437393E+00 +3.536208E-01
+1.940520E+00 -3.320185E+00 +1.585865E+00 -2.320501E-01 -1.299488E+00 -2.082503E-01 -3.466096E+00 -1.596249E+00 -3.336791E+00
-1.213250E+00 +5.219678E+00 -3.811751E+00 +1.635734E+00 -4.286133E-01 +1.580512E-01 -2.563475E+00 -2.949448E-01 -2.410014E+00
+2.473496E+00 -2.152752E+00 -4.822240E+00 -1.335339E+00 +3.064612E+00 +2.799165E-01 +5.030916E+01 +2.683219E+01 -6.395425E+00
+2.149859E+00 -7.592145E+00 +1.592965E+00 +1.447289E+00 -7.100884E-01 +2.463287E-04 -2.351994E+00 -1.438442E+00 -7.635633E+00
+8.242592E-01 +9.654767E+00 -6.911687E+00 -1.868043E+00 -2.539138E+00 -1.143326E+00 +2.327099E+01 -1.418549E+01 +3.166187E+01
-2.874806E+00 +1.363045E+01 +9.417181E+00 -1.037211E-02 +1.049234E+00 +4.624685E-02 +1.716523E-01 +5.227952E-02 +1.846243E+00
-1.114817E+01 -3.285547E+00 +8.366834E-01 +9.661825E-01 -1.538066E+00 -1.958398E+00 -1.306404E+01 +4.146765E+01 +7.916244E+00
-7.175450E+00 +1.348909E+01 -5.233755E+00 -2.190279E+00 -2.548480E-01 +3.939629E-01 +4.369098E+00 +8.011021E+00 -1.875352E+00
-7.435438E-01 +2.933090E+00 +7.592823E+00 -2.588713E-01 -1.189386E+00 -8.724311E-01 -1.073916E+00 +2.416145E+00 -5.392808E-01
-7.906835E+00 -1.439985E+00 -6.431091E-02 +1.016985E-01 +6.250341E-02 +1.888326E+00 +2.316522E+00 -7.615498E+00 +1.999030E+01
-1.307859E+00 +5.975543E+00 +7.732813E+00 -1.485704E+00 +6.204810E-01 +1.028064E+00 +3.022192E+00 -1.306509E+00 -2.669040E+00
-9.991829E-01 -2.946196E+00 +4.023869E+00 +5.532315E-01 +6.333875E-01 +7.536305E-01 +8.253023E-01 -5.044956E+00 -2.127938E+00
-6.035930E-01 +3.284790E+00 +1.079546E+01 -1.049331E-02 -1.756341E+00 +1.627525E-01 +7.550366E+00 -2.294858E+01 +4.109486E+01
-7.359870E+00 -2.884813E+00 -2.511271E+00 +3.097809E-01 -4.690500E-01 -3.502133E+00 -8.908535E+00 +5.342322E+00 +8.624966E+00
+3.448295E+00 -2.433853E+00 +6.215924E+00 -1.113511E+00 -1.266554E+00 +4.755634E-01 -2.403541E+01 -1.084197E+01 -9.163836E+00
-3.191829E+00 +4.683270E+00 +5.547936E+00 +1.107589E+00 -1.666855E-01 +1.219932E+00 +4.283548E+00 -9.502972E+00 +8.732856E+00
-3.451434E+00 +7.247743E+00 +1.478774E+01 -2.236143E+00 -1.471524E+00 +2.918019E-02 -2.148582E+01 +1.147389E+01 -2.981530E+01
-1.582287E+00 +6.015074E+00 +1.484243E+01 +3.134611E-02 -8.323991E-01 -1.504913E+00 -3.272459E+00 -5.259834E-01 -4.632178E-01
+1.802248E+01 +4.604251E+00 +8.216332E+00 -1.264797E+00 -4.645136E-01 +6.603741E-01 +4.622402E+00 +1.971645E+00 +1.887113E+00
-1.232568E+00 -5.633885E+00 +4.379169E+00 -1.914134E+00 -1.282588E+00 -1.149246E+00 -4.018898E+00 +7.965575E+00 -1.932432E+01
-1.209148E+00 +7.393612E+00 -1.264971E+01 -1.138963E+00 -1.787616E-01 +3.978464E-01 -2.290673E+00 +1.330382E+00 -1.802086E+00
+4.992472E+00 +3.949733E+00 -2.478853E+00 +3.407327E-01 -1.532732E+00 +1.403257E+00 -1.094821E+01 +3.861410E+00 -4.829307E+00
+1.524855E+00 +1.422206E+00 -1.769016E+01 -9.024817E-01 -1.768788E+00 -2.077935E+00 +1.673466E+01 +8.498603E+01 +2.765830E+00
+8.099993E-01 +1.219589E+01 +5.264614E+00 +4.766622E-01 -1.683173E+00 +9.001040E-01 +5.668417E+00 -1.813730E+01 -2.280623E+01
-2.028022E+00 +1.440310E+01 +5.036723E+00 +9.380974E-01 +8.430477E-02 -6.515151E-01 -1.063556E+01 -2.238470E+00 +1.018454E+01
+1.091068E+01 +6.273558E+00 +6.364806E+00 -8.119509E-01 -1.206668E+00 -1.436861E+00 +1.194535E+00 -2.246716E+00 -2.720870E+00
-7.380500E-01 +1.023916E+01 +7.636914E+00 -1.937640E+00 -1.540112E+00 -1.277327E+00 +3.154853E+00 +3.662936E-01 +2.814968E+00
+9.231726E+00 -3.433027E+00 -3.243209E+00 +5.607464E-01 +2.675171E-01 -2.603110E+00 -2.744512E+00 -2.185139E+00 -2.124396E+00
+1.206775E+00 +3.772258E+00 +8.180775E+00 -2.408857E-01 -9.346785E-01 +4.580482E-01 -4.469474E+00 -7.558941E+00 +5.449615E+00
-7.273514E-01 +1.193099E+01 +2.149026E+00 -4.365205E-01 -1.020059E+00 -5.789000E-01 -2.261771E+01 +3.977363E+00 -2.753224E+01
-9.511854E+00 -1.409091E+00 +1.352305E+01 +4.159853E-01 +1.850196E-01 +1.889361E+00 -1.248074E+00 -3.658798E+00 -8.970405E+00
-6.929996E+00 +1.219982E+01 +7.084276E+00 +1.961123E+00 +1.094830E+00 +1.256056E-01 +1.371733E+01 +1.028505E+00 +1.386805E+00
+8.387048E+00 +2.525034E+00 +4.730704E+00 +3.278887E-01 +4.866145E-01 -8.863111E-01 +3.414541E+00 -1.617474E-01 +5.718389E-01
+3.048976E-01 +5.543299E+00 -1.168752E+00 +1.449835E-01 -1.157553E+00 -1.536586E+00 +4.518250E+00 -1.349996E+01 +5.415695E-01
+6.888581E+00 -1.239242E+00 +1.205983E+01 +2.009149E+00 -2.061753E+00 -2.325660E+00 +2.065369E+00 -1.069110E+00 +1.377606E+00
+1.611768E+01 +1.523460E+01 +1.078141E+01 -2.757210E+00 -1.355785E-01 -1.154300E+00 -1.956491E+00 -8.441495E+00 -3.879986E+00
-1.521039E+00 +7.281820E+00 +8.446469E+00 +6.719637E-01 -3.057821E-01 +1.327295E+00 +3.707167E+00 +5.515311E+00 +1.611401E+00
-6.390537E+00 +1.851167E+00 +3.516836E+00 +5.794737E-01 +1.464160E+00 +4.295986E-02 -2.312201E+00 +8.264540E-01 -1.803214E+00
-4.873715E-02 +2.791138E+00 +1.517588E+01 -1.537696E+00 -1.151877E+00 -3.121200E-01 -1.108615E+01 -4.616496E+00 -5.357996E+00
+1.004899E+01 +7.486427E+00 +1.286043E+01 +7.651578E-01 +1.111185E+00 -1.118991E+00 -2.199354E+00 +1.061223E+00 +2.185682E-01
+6.912553E+00 +6.208290E+00 +6.244579E+00 +2.252812E-01 +3.989651E-02 -9.697813E-01 +9.631811E+00 -9.462883E-01 -7.586393E+00
