rx ry rz vx vy vz ax ay az
 1.202271E-01  5.172218E+00  1.109336E+00  7.186163E-01 -1.276459E+00 -4.816530E-01 -2.642653E-01  1.688866E+00 -5.135516E+00
 1.083031E+00  4.008045E+00  1.040168E+00 -1.844995E+00 -3.761416E-01 -1.800072E+00  4.654496E+00  5.267826E+00 -1.570375E+00
 1.050882E+00  4.958294E+00  1.572879E-01 -1.249719E+00 -6.864596E-01  1.082166E+00  2.883904E+00 -2.955679E+00  7.761989E+00
 9.429550E-02  4.073771E+00  2.059359E+00  8.079768E-01 -1.232202E+00 -5.085704E-01 -9.268825E+00 -2.299637E+00 -4.774943E+00
 1.250827E-01  5.184480E+00  3.181929E+00 -3.963053E-01  2.035773E+00 -7.061317E-01 -5.135672E-01 -6.468574E+00 -4.437688E+00
 8.320784E-01  4.124280E+00  3.189426E+00  4.955408E-01 -1.555649E+00 -1.581947E+00 -6.068099E+00 -1.082133E+01 -2.354840E+00
 1.149038E+00  5.115358E+00  2.090326E+00  8.500386E-02 -1.871871E+00  1.168714E+00  1.110915E+01  1.178264E+01  1.117199E+01
 4.712400E-03  3.969534E+00  4.118716E+00  1.093455E+00  6.486954E-01  1.235786E+00 -6.771891E+00 -1.757169E-01 -5.020852E+00
 1.276462E-01  4.942800E+00  5.178707E+00  1.330251E+00 -6.831431E-02 -1.736476E+00 -2.454942E+00  1.681982E+01  2.839764E+01
 1.000022E+00  3.906368E+00  4.851984E+00  7.995279E-01  1.119217E+00  1.977216E+00  2.804488E+00 -1.390772E+01 -2.656664E+01
 1.033347E+00  5.027057E+00  4.006730E+00 -1.509932E+00 -4.592404E-01  2.157641E-01  1.294575E+01  4.633378E+00  9.053835E-01
-1.583265E-01  3.970625E+00  6.190024E+00 -4.862030E-01  1.850308E+00  6.423449E-01 -6.997035E+00 -4.071381E+00 -1.172895E+01
-1.974694E-01  5.029151E+00  7.056671E+00  9.300363E-01  1.771480E-01 -1.838852E+00 -1.595553E+01  7.528849E+00  9.478701E+00
 1.141553E+00  3.880407E+00  6.823482E+00 -7.150397E-01 -1.661773E+00  1.853724E+00  1.177184E+01 -1.568845E+01 -7.008761E+00
 9.382905E-01  5.041111E+00  6.159344E+00  1.442417E+00  1.600075E+00  1.586034E+00  1.897391E+00  2.329234E+01 -7.084418E+00
-1.799330E-01  3.951475E+00  8.079267E+00 -1.159172E+00 -1.453940E-01 -1.338501E+00 -6.540274E+00 -2.830738E+01  7.458775E+00
-4.658570E-02  5.028196E+00  9.027129E+00 -1.144491E+00 -3.622257E-02 -1.073927E+00  1.009589E+01  2.445333E+01  9.190550E+00
 9.501267E-01  3.828845E+00  8.816137E+00  1.636874E+00  7.929458E-01 -1.438246E+00 -2.322355E+00 -1.370249E+01  3.872588E+00
 9.400236E-01  4.893170E+00  7.965489E+00  6.738223E-01 -7.392588E-01  5.538494E-01 -1.209047E+01  3.282635E+01 -5.148757E+00
 6.766280E-02  5.912406E+00  1.802100E-02  1.999437E+00 -1.550943E+00  1.027586E+00  1.867159E+01 -4.742105E+01 -1.579040E+01
 3.763730E-02  6.821731E+00  1.101622E+00 -7.352211E-01  7.174927E-01 -8.630103E-01 -6.085327E+00 -1.864639E+01 -8.698903E+00
 8.157348E-01  6.013889E+00  1.050289E+00 -2.693822E-01  5.526344E-01 -1.039854E+00  1.083351E+01  1.623919E+01  2.552779E+00
 9.210680E-01  6.883972E+00 -1.748639E-01  4.389970E-02  1.479795E-01 -1.565663E+00 -1.161996E+01 -1.245557E+01  5.403414E+00
 1.618619E-01  6.080603E+00  1.845012E+00 -1.613548E+00 -1.276181E+00  1.828925E+00  1.149119E+01 -1.223302E+01  6.365485E+00
 3.601120E-02  6.920843E+00  2.888229E+00  1.557431E+00 -1.795889E+00  1.248128E+00 -1.946434E+01 -1.423952E+01 -1.363146E+01
 9.401988E-01  5.975868E+00  2.953397E+00  1.526727E+00 -1.616606E+00  7.153915E-02  6.504297E-01  5.531705E+01  1.582497E+01
 9.786921E-01  7.034476E+00  2.177312E+00 -1.504624E+00  1.523943E-01  1.423909E+00  9.604059E+00 -5.917928E+01 -1.266767E+01
-8.895560E-02  5.887617E+00  4.088347E+00 -1.741026E+00  4.333560E-01 -1.923771E+00  3.088420E+00  7.642344E+01  2.348101E+01
 1.434670E-02  7.011616E+00  5.125435E+00  6.458488E-01 -8.306559E-02 -1.611632E+00  9.016796E+00 -7.094518E+01 -4.619941E+00
 9.909948E-01  6.027785E+00  5.120336E+00 -1.581442E+00  1.105522E+00  8.747597E-01 -1.618480E+00  5.938880E+01  2.712907E+01
 1.068956E+00  7.118559E+00  4.004015E+00 -1.468143E+00 -1.135059E+00 -2.725916E-01 -2.748060E+00 -3.264278E+01 -4.801103E+00
 9.480950E-02  5.860950E+00  5.835394E+00  1.769583E+00 -1.355974E+00 -1.444626E+00 -3.404454E+00  4.012727E+01 -2.359855E+01
-1.252930E-02  6.817448E+00  6.952882E+00 -1.770294E+00  1.321190E+00 -1.663456E+00 -1.364756E+01 -1.011542E+01  4.657202E+00
 1.019145E+00  6.044199E+00  7.198079E+00 -2.007281E+00 -1.459681E+00  1.829139E+00  6.038495E+00 -7.083692E+01 -2.363772E+01
 9.005749E-01  7.118938E+00  6.050884E+00 -1.900465E+00  8.474741E-01  5.859412E-01  1.849533E+01  7.087537E+01  1.546153E+01
-8.391490E-02  5.862510E+00  7.940498E+00 -1.399489E+00 -7.135974E-01  7.013145E-01 -4.952643E+01  2.905775E+01  7.029199E+00
 1.790400E-03  7.128407E+00  8.967735E+00 -8.920802E-02 -1.160228E+00 -1.143029E+00  2.873056E+01 -2.227894E+01 -1.163060E+01
 1.174494E+00  5.839878E+00  8.992070E+00  6.870313E-02 -1.023201E+00 -3.796308E-01  1.885435E+01  3.814973E+01  3.634346E+01
 1.149065E+00  7.119078E+00  8.017716E+00  4.291407E-01 -1.517278E+00 -1.025318E+00 -4.749793E+01 -2.296630E+01 -3.493727E+01
-1.931872E-01  8.154785E+00 -2.150540E-02 -6.377061E-01 -8.305232E-01 -1.814228E-02  8.764771E+00  4.184758E+01 -5.091548E-01
-1.371816E-01  8.903620E+00  1.131089E+00 -1.336148E+00  8.670687E-01 -2.039669E-01 -1.319585E+01  1.103694E+02  2.155191E+01
 1.005991E+00  7.917662E+00  1.082524E+00 -1.624969E+00  1.990493E+00 -1.059248E+00  3.992119E+01 -5.720184E+01 -3.526675E+01
 1.144438E+00  9.117073E+00  6.995900E-02  1.662803E+00 -1.207159E+00 -3.357577E-01  5.632398E+00 -4.988699E+01  2.482364E+01
 1.721436E-01  7.877689E+00  1.835370E+00  5.810287E-01  3.232088E-01 -2.718484E-01 -2.601059E+01 -1.805869E+02 -6.234730E+01
 1.516061E-01  9.050285E+00  2.866741E+00 -1.905841E+00  1.799963E+00 -7.199793E-01 -8.651358E+01  9.540690E+01  9.164660E+00
 8.028181E-01  7.871166E+00  3.095547E+00 -7.113823E-01  1.426534E+00 -1.202416E+00  7.006769E+01  4.845465E+01  5.342049E+01
 1.139282E+00  9.095268E+00  2.193900E+00 -3.580249E-01  2.460113E-01 -1.073150E+00 -4.470425E+01 -8.005973E+01 -3.294718E+01
 1.186220E-01  8.036210E+00  3.849290E+00  1.020961E+00  1.393441E+00 -8.917381E-01  9.460491E+01  1.086445E+02  8.655280E+01
 5.751760E-02  8.965335E+00  5.187470E+00  1.443197E-01 -1.908521E-01  1.114981E+00 -1.935111E+00 -9.947414E+01 -1.873312E+01
 1.198024E+00  7.977147E+00  4.978426E+00 -7.142101E-01  1.923449E+00  1.749346E+00  3.272326E+01 -1.463282E+01  1.983935E+00
 8.909566E-01  9.070398E+00  3.947489E+00 -1.112541E+00  1.581224E+00 -3.584543E-01 -4.634541E+01  5.449587E+01 -1.478457E+01
-1.926120E-02  7.941456E+00  6.008830E+00 -2.495977E-01 -1.861306E-01  8.582397E-01  3.096608E+01 -5.309321E+01 -7.700473E+01
-1.535272E-01  9.050290E+00  7.052197E+00  1.668392E+00 -1.556069E+00 -4.479489E-01 -6.385843E+01 -9.720027E+01  8.105199E+00
 1.048066E+00  7.844919E+00  6.966963E+00 -7.692644E-01 -6.816630E-01 -1.526584E+00  4.858145E+01  1.713056E+02  6.622414E+01
 1.001216E+00  9.106522E+00  6.134507E+00 -1.007249E+00  1.809140E+00  1.958995E+00  2.664143E+01 -3.781008E+01 -4.560594E+01
 4.911320E-02  7.938284E+00  8.190588E+00 -1.691023E-01  8.196215E-01  1.914610E+00 -8.242992E+01  3.927305E+01 -1.938547E+01
 1.345520E-01  8.983730E+00  9.131609E+00  1.470936E+00 -1.297123E+00 -5.861862E-01  2.037417E+01  4.279948E+01  5.294376E+01
 1.019693E+00  8.029666E+00  8.976359E+00  1.683779E+00 -4.167960E-01 -5.337963E-01 -4.844876E+01  1.415106E+01 -8.193421E+01
 8.875380E-01  8.992421E+00  8.156132E+00 -9.721889E-01 -7.730127E-01 -7.898793E-01  1.235950E+02  5.184797E+01  1.556177E+02
 1.950350E+00 -1.354647E-01  1.088327E-01 -2.020957E+00  7.055205E-01 -8.831491E-01  8.631530E-01 -3.287373E+01 -7.193653E+01
 2.036051E+00  8.941474E-01  8.648760E-01 -7.327528E-01  1.301756E+00  1.286862E+00  8.683245E+01  4.396402E+01 -4.821405E+01
 2.821893E+00  1.272248E-01  1.110725E+00 -1.633081E+00 -6.544237E-01 -1.656093E-01 -7.517811E+01 -9.686752E+01  8.945813E+00
 3.034153E+00  8.450841E-01  1.157772E-01 -1.331188E+00 -1.570621E+00  1.887041E+00  8.300537E+01  9.712740E+01  5.828309E+01
 2.017628E+00  6.453450E-02  1.880578E+00  1.444010E+00  6.133555E-01  1.557996E+00 -1.513379E+02  1.613706E+02  5.641844E+01
 2.160995E+00  9.555516E-01  3.163660E+00 -6.784651E-01 -9.780176E-01 -1.183205E+00 -3.872488E+01  1.237645E+02  5.235111E+01
 2.974207E+00 -1.110438E-01  2.859851E+00 -7.620421E-01 -4.793589E-01 -8.816515E-02 -2.516101E+01 -3.685396E+02 -5.569854E+00
 3.161752E+00  8.650968E-01  2.009204E+00 -1.986137E+00 -9.997831E-01 -1.416375E+00 -1.619268E+01  1.250362E+02 -1.393864E+02
 2.037119E+00  1.334882E-01  4.068314E+00  1.069350E+00  7.246287E-01  7.911959E-01 -6.106155E+01  8.529872E+00 -3.985015E+01
 2.142375E+00  1.196809E+00  5.005522E+00  4.155104E-01 -2.699381E-01 -1.721040E+00  4.133746E+01 -7.061107E+01 -7.481388E+01
 2.925595E+00  5.351400E-02  5.030731E+00 -7.919609E-01 -1.512289E+00  2.025551E+00  1.511066E+02  1.785039E+02  2.261536E+02
 3.174677E+00  8.013887E-01  4.134513E+00  1.228395E-01  1.321898E+00 -1.397037E+00 -2.165444E+02 -5.715950E+01 -1.181090E+02
 1.834569E+00  1.835312E-01  6.164340E+00  1.029282E-01  7.617394E-01 -1.935868E-01  4.828368E+01 -3.119778E+02  2.987129E+01
 2.005968E+00  8.456649E-01  7.142862E+00  1.146768E+00 -1.946346E+00  9.769424E-01  1.056918E+02  1.208015E+02 -2.099975E+02
 2.960300E+00 -3.984300E-02  6.878432E+00  6.544490E-01 -1.606859E+00 -1.107616E+00 -2.421811E+02  7.026235E+01  1.253480E+02
 2.828836E+00  1.069455E+00  6.174526E+00  1.834159E+00  5.536041E-01 -1.896150E+00  1.920560E+02 -2.840853E+02  1.935274E+01
 1.894489E+00  8.620460E-02  8.161352E+00  3.393507E-01 -9.579651E-01  8.380806E-01  6.052232E+01  7.356734E+02  2.606823E+02
 2.033984E+00  8.907288E-01  9.186899E+00  1.045580E+00  1.442109E+00 -1.067375E+00 -8.525351E+01 -2.644838E+02 -1.431292E+02
 3.030536E+00  9.683640E-02  9.033805E+00  1.996968E+00  1.635692E+00  7.260417E-01  7.881800E+01  9.274403E+01  3.948854E+01
 3.134156E+00  1.034663E+00  7.959634E+00  9.888983E-01  8.970853E-02  6.833912E-01 -3.845626E+01 -6.639804E+02 -8.684825E+00
 1.830307E+00  1.838362E+00  1.628843E-01 -8.826537E-01 -2.504613E-01  1.585236E+00  4.117109E+02  6.161818E+02  1.749588E+02
 1.904757E+00  2.988488E+00  9.022220E-01  6.825098E-01 -1.301957E+00 -5.014913E-01 -2.163681E+02 -6.735061E+02 -4.055783E+01
 2.955477E+00  1.857471E+00  9.861023E-01 -8.339962E-01  1.133753E+00 -2.944312E-01 -9.050577E+01 -4.330725E+01 -2.617847E+02
 2.851742E+00  2.891540E+00 -1.897450E-02  1.718724E+00  9.122902E-01 -1.097270E+00  1.304294E+02  6.455003E+02  5.718219E+01
 2.069171E+00  2.088002E+00  1.927605E+00  4.723315E-01 -1.721192E+00  7.286330E-01 -4.912749E+02 -2.483188E+02 -1.331168E+01
 2.025867E+00  3.071023E+00  2.878198E+00  8.611415E-01 -1.283886E+00 -1.947811E+00  1.508950E+02  1.125963E+02  3.661276E+02
 3.178668E+00  2.140283E+00  2.899684E+00 -1.418457E+00  1.578018E+00  2.044659E+00  2.991312E+02 -2.082675E+02 -1.359687E+02
 3.134158E+00  2.907712E+00  2.037175E+00  1.797185E+00 -1.591314E+00  1.092743E+00 -1.033117E+02 -9.989554E+01 -3.244722E+02
 1.975215E+00  1.887233E+00  4.090630E+00  1.156500E+00  1.602860E+00 -1.051453E+00  4.464229E+00  1.497161E+02  5.792533E+01
 1.925974E+00  2.986188E+00  5.099167E+00 -7.235464E-01 -4.923191E-01 -1.920130E-01  8.127497E+02  9.052432E+02  3.405443E+02
 2.979036E+00  2.177099E+00  4.997429E+00  1.431846E+00  1.113534E+00 -9.592317E-01 -5.055427E+02 -6.693675E+01 -2.604878E+02
 3.112598E+00  2.914429E+00  4.064639E+00  8.257611E-02 -1.682638E+00  1.196996E+00 -1.828083E+02 -2.657472E+02  2.002298E+02
 1.873691E+00  2.072298E+00  5.832552E+00 -1.561977E+00  4.585260E-01 -2.894193E-01 -4.465841E+02 -1.529104E+03 -5.172685E+02
 2.052565E+00  2.957813E+00  6.991258E+00  2.612974E-02  1.200930E+00  4.860126E-01 -6.820358E+02  4.590908E+02 -3.351708E+02
